Department,Entity,Pay Date,Product Family,Expense area,Supplier Name,Transaction Number,Net Amount,,,,,,,,,,,,
DESNZ,UKAEA,22/11/2023,Facilities,Fusion,Atkins Ltd,5163802,"34,836.00",,,,,,,,,,,,
DESNZ,UKAEA,28/11/2023,Facilities,Fusion,Atkins Ltd,5163849,"44,660.00",,,,,,,,,,,,
DESNZ,UKAEA,22/11/2023,Facilities,Fusion,Atkins Ltd,5163807,"46,460.00",,,,,,,,,,,,
DESNZ,UKAEA,08/11/2023,Facilities,Fusion,Atkins Ltd,5162844,"63,605.00",,,,,,,,,,,,
DESNZ,UKAEA,20/11/2023,Facilities,Support Services,Atkins Ltd,5163507,"4,345.14",,,,,,,,,,,,
DESNZ,UKAEA,03/11/2023,Facilities,Other,Atkins Ltd,5161685,"3,940.93",,,,,,,,,,,,
DESNZ,UKAEA,03/11/2023,Facilities,Other,Atkins Ltd,5161685,"6,101.41",,,,,,,,,,,,
DESNZ,UKAEA,28/11/2023,Facilities,Other,Atkins Ltd,5163952,"6,448.05",,,,,,,,,,,,
DESNZ,UKAEA,20/11/2023,Facilities,Other,Atkins Ltd,5163667,"9,113.10",,,,,,,,,,,,
DESNZ,UKAEA,28/11/2023,Facilities,Other,Atkins Ltd,5163958,"9,910.40",,,,,,,,,,,,
DESNZ,UKAEA,08/11/2023,Facilities,Other,Atkins Ltd,5162786,"18,909.45",,,,,,,,,,,,
DESNZ,UKAEA,03/11/2023,Research,Fusion,Atkins Ltd,5162047,702.00,,,,,,,,,,,,
DESNZ,UKAEA,22/11/2023,Facilities,Fusion,Atkins Ltd,5163771,"1,165.50",,,,,,,,,,,,
DESNZ,UKAEA,22/11/2023,Research,Fusion,Atkins Ltd,5163721,"2,265.17",,,,,,,,,,,,
DESNZ,UKAEA,28/11/2023,Research,Fusion,Atkins Ltd,5164026,"3,812.50",,,,,,,,,,,,
DESNZ,UKAEA,20/11/2023,Facilities,Fusion,Atkins Ltd,5163562,"4,260.02",,,,,,,,,,,,
DESNZ,UKAEA,22/11/2023,Research,Fusion,Atkins Ltd,5163768,"4,920.50",,,,,,,,,,,,
DESNZ,UKAEA,20/11/2023,Facilities,Fusion,Atkins Ltd,5163563,"6,180.86",,,,,,,,,,,,
DESNZ,UKAEA,28/11/2023,Facilities,Fusion,Atkins Ltd,5164043,"6,277.54",,,,,,,,,,,,
DESNZ,UKAEA,28/11/2023,Facilities,Fusion,Atkins Ltd,5164044,"7,859.80",,,,,,,,,,,,
DESNZ,UKAEA,22/11/2023,Research,Fusion,Atkins Ltd,5163712,"8,242.60",,,,,,,,,,,,
DESNZ,UKAEA,22/11/2023,Facilities,Fusion,Atkins Ltd,5163722,"9,051.75",,,,,,,,,,,,
DESNZ,UKAEA,22/11/2023,Professional Services,Fusion,Atkins Ltd,5163735,"9,581.50",,,,,,,,,,,,
DESNZ,UKAEA,20/11/2023,Professional Services,Fusion,Atkins Ltd,5163145,"11,630.30",,,,,,,,,,,,
DESNZ,UKAEA,22/11/2023,Research,Fusion,Atkins Ltd,5163692,"11,832.50",,,,,,,,,,,,
DESNZ,UKAEA,20/11/2023,Consultancy - Other (per Cabinet Office definition),Fusion,Atkins Ltd,5163371,"12,021.24",,,,,,,,,,,,
